3,1997,Character,Mike van Diem,Ferdinand Bordewijk,Pavlik Jansen op de Haar, Crime
7,1992,8 Man,Yasuhiro Horiuchi,Kazumasa Hirai,Kai Shishido, Action
9,1991,Class of Nuke 'Em High 2,Eric Louzil,Lloyd Kaufman,Brick Bronsky, Comedy
12,1947,My Favorite Brunette,Elliott Nugent,Edmund Beloin,Bob Hope, Comedy
15,1988,Neil Diamond: Greatest Hits Live,Dwight Hemion,Kenny Solms,Neil Diamond, Documentary
17,2005,7 Seconds,Simon Fellows,Martin Wheeler,Wesley Snipes, Action
18,1994,Immortal Beloved,Bernard Rose,Bernard Rose,Gary Oldman, Biography
20,1972,Seeta Aur Geeta,Ramesh Sippy,Javed Akhtar,Dharmendra, Comedy
22,2000,Chump Change,Stephen Burrows,Stephen Burrows,Stephen Burrows, Comedy
26,2004,Never Die Alone,Ernest R. Dickerson,Donald Goines,DMX, Action
29,2001,Boycott,Clark Johnson,Stewart Burns,Jeffrey Wright, Drama
30,2003,Something's Gotta Give,Nancy Meyers,Nancy Meyers,Jack Nicholson, Comedy
37,1973,Zatoichi's Conspiracy,Kimiyoshi Yasuda,Yoshi Hattori,Shintarô Katsu, Action
42,2002,Searching for Paradise,Myra Paci,Myra Paci,Susan May Pratt, Drama
44,1996,Spitfire Grill,Lee David Zlotoff,Lee David Zlotoff,Alison Elliott, Drama
45,1999,The Love Letter,Peter Ho-Sun Chan,Cathleen Schine,Kate Capshaw, Comedy
46,1964,Rudolph the Red-Nosed Reindeer,Larry Roemer,Romeo Muller,Billie Mae Richards, Animation
47,1952,The Bad and the Beautiful,Vincente Minnelli,Charles Schnee,Lana Turner, Drama
50,1941,A Yank in the R.A.F.,Henry King,Darrell Ware,Tyrone Power, Action
53,2003,The Bonesetter,Brett Kelly,Brett Kelly,Brett Kelly, Horror
55,1995,Jade,William Friedkin,Joe Eszterhas,David Caruso, Crime
57,1995,Richard III,Richard Loncraine,William Shakespeare,Ian McKellen, Drama
58,1996,Dragonheart,Rob Cohen,Patrick Read Johnson,Dennis Quaid, Action
61,1999,Ricky Martin: One Night Only,Bruce Gowers,Ken Ehrlich,Ricky Martin, Documentary
63,1943,Crash Dive,Archie Mayo,Jo Swerling,Tyrone Power, Action
